Product ID,Product Position,Promotion,Product Category,Seasonal,Sales Volume,brand,url,name,description,price,currency,terms,section,season,material,origin,revenue,Price Category,Demand Score,Promotion Flag,PC1,PC2,PCA_Cluster,Cluster Name
185102,aisle,yes,clothing,yes,1243,zara,https://www.zara.com/us/en/basic-puffer-jacket-p06985450.html,basic puffer jacket,puffer jacket made of tear-resistant ripstop fabric. high collar and adjustable long sleeves with adhesive straps. welt pockets at hip. adjustable hem with side elastics. front zip closure.,78.99,USD,jackets,man,winter,polyester,brazil,98184.56999999999,premium,65,1,2.857449435802043,1.1660425552685751,2,"Premium Products (High Price, High Revenue)"
188771,aisle,yes,clothing,no,1429,zara,https://www.zara.com/us/en/tuxedo-jacket-p08896675.html,tuxedo jacket,straight fit blazer. pointed lapel collar and long sleeves with buttoned cuffs. welt pockets at hip and interior pocket. central back vent at hem. front button closure.,14.99,USD,jackets,man,autumn,cotton,turkey,21420.71,cheap,81,1,-1.7018150810539545,0.9623883252523705,1,"Promotion Hits (Low Price, High Volume)"
180176,end-cap,yes,clothing,yes,1168,zara,https://www.zara.com/us/en/slim-fit-suit-jacket-p01564520.html,slim fit suit jacket,slim fit jacket. notched lapel collar. long sleeves with buttoned cuffs. welt pocket at chest and flap pockets at hip. interior pocket. back vents. front button closure.,71.95,USD,jackets,woman,autumn,polyester,morocco,84037.6,premium,61,1,2.2082018080016375,0.815182097680245,2,"Premium Products (High Price, High Revenue)"
112917,aisle,yes,clothing,no,1348,zara,https://www.zara.com/us/en/stretch-suit-jacket-p01564300.html,stretch suit jacket,slim fit jacket made of viscose blend fabric. notched lapel collar. long sleeves with buttoned cuffs. welt pocket at chest and flap pockets at hip. interior pocket. back vents. front button closure.,30.99,USD,jackets,man,spring,polyester,china,41774.52,medium,73,1,-0.537073530532598,0.8748708733734952,1,"Promotion Hits (Low Price, High Volume)"
192936,end-cap,yes,clothing,yes,1602,zara,https://www.zara.com/us/en/double-faced-jacket-p08281477.html,double faced jacket,jacket made of faux leather faux shearling with fleece interior. tabbed lapel collar. long sleeves. zip pockets at hip. front zip closure.,22.99,USD,jackets,woman,winter,wool blend,china,36829.979999999996,cheap,94,1,-1.009573141260087,1.768566379169461,1,"Promotion Hits (Low Price, High Volume)"
117590,end-cap,yes,clothing,yes,1282,zara,https://www.zara.com/us/en/contrasting-collar-jacket-p06987331.html,contrasting collar jacket,relaxed fit jacket. contrasting lapel collar and long sleeves with buttoned cuffs. front pouch pockets. interior pocket. washed effect. front zip closure.,25.95,USD,jackets,woman,autumn,cotton,turkey,33267.9,cheap,68,1,-0.9026515174432891,0.7205034953001129,1,"Promotion Hits (Low Price, High Volume)"
189118,front of store,no,clothing,no,688,zara,https://www.zara.com/us/en/faux-leather-puffer-jacket-p08281420.html,faux leather puffer jacket,faux leather puffer jacket. high collar and long sleeves with ribbed interior cuffs. welt pockets at hip. interior pocket. adjustable hem with side elastics. front zip closure.,87.99,USD,jackets,man,winter,acrylic,china,60537.119999999995,premium,2,0,2.234663220910158,-1.384402261309443,2,"Premium Products (High Price, High Revenue)"
182157,aisle,yes,clothing,yes,1711,zara,https://www.zara.com/us/en/suit-jacket-in-100-linen-p04307408.html,suit jacket in 100% linen,straight fit blazer made of linen. notched lapel collar and long sleeves with buttoned cuffs. welt pocket at chest and flap pockets at hip. interior pocket. back vents. front button closure.,24.0,USD,jackets,woman,summer,cotton,portugal,41064.0,cheap,98,1,-0.9021345217683487,2.095864868537665,1,"Promotion Hits (Low Price, High Volume)"
141861,aisle,no,clothing,yes,857,zara,https://www.zara.com/us/en/100-wool-suit-jacket-p05955218.html,100% wool suit jacket,jacket made of italian wool. pointed lapel collar and long sleeves with buttoned cuffs. welt pocket at chest and flap pockets at hip. interior pocket. back vents. front button closure.,32.95,USD,jackets,woman,winter,wool,india,28238.15,medium,27,0,-0.6110593644844002,-0.9211043212406872,0,"Basic Products (Low Price, No Promo)"
137121,aisle,no,clothing,no,769,zara,https://www.zara.com/us/en/100-feather-fill-puffer-jacket-p04302305.html,100% feather fill puffer jacket,puffer jacket made of shiny finish technical fabric. fill is a blend of 80% down and 20% feathers. high collar with adjustable hood and long sleeves with elastic cuffs. welt pockets at hip and interior pocket. adjustable hem with side elastics. front zip closure.,39.95,USD,jackets,man,autumn,wool blend,china,30721.550000000003,medium,10,0,-0.31388977227066583,-1.3218332735036618,0,"Basic Products (Low Price, No Promo)"
